Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G22780	189.1568805108284	1.583556609538129	0.3045013778512358	213.19316830451328	2.2680323073337025e-35	3.599367271738586e-31
AT1G17665	15.065139660725487	-0.23253668478167505	1.7348798813225712	212.5273783691194	3.086487723819462e-35	4.8982560177014865e-31
AT4G26630	1062.100267400456	-2.972160023513409	0.4254081394246947	212.27059194656522	3.4758933975133606e-35	5.516242821853703e-31
AT3G04920	312.2964201974195	0.8706478251214542	0.21576478511815161	211.37858213077084	5.25145140164803e-35	8.334053374415424e-31
AT3G04400	1452.1814301047614	1.2987314295452148	0.1910966865057377	211.30311522393276	5.437992033763113e-35	8.630093357582061e-31
AT2G07671	101.38761870547286	-1.2092962534341072	0.43048874846705615	211.2916785859552	5.466833332333804e-35	8.675864498413747e-31
AT5G63530	475.8434586530554	-2.159314941974134	0.43230514411689874	206.99376728863854	3.9841695450116235e-34	6.322877067933446e-30
AT5G62300	103.14687084239179	1.6661165230997048	0.3705683834567776	206.71022299647632	4.5414546185579226e-34	7.207288479651424e-30
AT3G60770	259.40339258647225	1.4614993707766026	0.21684647820638525	206.39421012632113	5.25478925840053e-34	8.339350553081642e-30
AT3G11940	354.79209982072825	1.8529328019040832	0.24636432819425885	205.8834764477415	6.651814462263261e-34	1.0556429551611794e-29
AT2G26570	77.61868684832235	-1.5712221069503665	0.36524298809547817	205.24008948079563	8.951331646196658e-34	1.4205763322514097e-29
AT3G25520	219.36235272045136	1.9934972522566359	0.27231682676195534	203.59696666155776	1.9100729222597195e-33	3.031285727626175e-29
AT2G40205	529.5348709275362	0.9730378842853635	0.39132205056011726	201.52410741236486	4.965738434175223e-33	7.880626895036079e-29
AT5G52650	276.94183259207256	1.0834107379119526	0.25794304100793924	200.91389224548425	6.577566743669816e-33	1.0438598422203998e-28
AT1G32900	245.08737206942092	-2.405474681560195	0.5282179101860973	200.4401336472613	8.181353901829093e-33	1.298380864220277e-28
AT2G18020	341.1022054651582	1.418257277685979	0.2566307895716354	200.1863514516183	9.195560486792762e-33	1.4593354492540112e-28
AT1G18540	275.2271391998914	1.2420980256990184	0.2456079432031845	199.95689278805867	1.0220264866012812e-32	1.6219560342362333e-28
AT1G29470	303.6995104131817	-1.3627208401444553	0.26826556939844154	199.52762970407025	1.2453406812383233e-32	1.976355661125219e-28
AT2G30500	60.43016490429676	-0.8601498882263271	0.40288586538181403	198.36841504027063	2.1231492225862333e-32	3.3694378162443524e-28
AT3G45030	129.23022737018326	1.9009847401332212	0.3319587340341024	197.56119768422354	3.077872877216784e-32	4.884584256143037e-28
AT5G07090	366.0334543661819	1.2124562246323258	0.23876256073696317	196.7517849148103	4.4658332241737773e-32	7.087277326763785e-28
AT1G65960	294.9261318612718	-0.0030024008050761612	0.27371320821168493	196.65023234236082	4.679290595850348e-32	7.426034175614502e-28
AT1G19400	67.97254261813873	0.9509603905271062	0.5028881434238639	194.9571827256906	1.0188392035871486e-31	1.616897816092805e-27
